ID,y
1,78.5901870728
2,93.8930740356
3,78.7463989258
4,78.5901870728
5,111.874023438
8,93.2087631226
10,111.970939636
11,93.9192657471
12,115.660415649
14,94.230796814
15,115.660415649
16,103.614425659
17,95.688331604
19,94.230796814
20,104.005889893
21,95.5617218018
22,115.800483704
23,95.688331604
26,94.2046051025
28,93.9393615723
29,95.688331604
33,95.688331604
35,94.1076889038
41,95.688331604
42,94.0160293579
43,115.660415649
45,103.297279358
46,103.308174133
51,93.9192657471
53,80.5247192383
55,112.265563965
56,93.7926559448
57,103.308174133
58,94.3822174072
59,103.336280823
63,112.028579712
64,94.3277130127
65,104.005889893
69,94.230796814
71,95.1143112183
72,103.614425659
73,94.230796814
76,103.336280823
77,103.308174133
78,115.043960571
82,94.230796814
83,104.005889893
84,93.9192657471
85,103.308174133
87,111.874023438
88,95.688331604
89,111.970939636
91,93.9192657471
93,94.0460891724
94,103.929344177
95,93.8930740356
96,111.696846008
97,93.5200042725
98,112.028579712
99,93.9192657471
101,103.614425659
103,111.970939636
104,93.7178649902
105,111.874023438
110,94.4304122925
111,111.717811584
113,111.874023438
114,93.8227539062
115,112.431381226
117,111.970939636
120,93.5165023804
121,112.028579712
122,93.5200042725
123,112.265563965
126,112.028579712
132,112.365318298
135,103.924766541
137,104.260948181
138,94.230796814
140,93.7926559448
142,112.203521729
144,111.874023438
148,93.2087631226
149,112.028579712
155,93.7293395996
156,111.874023438
157,93.5200042725
162,112.282783508
163,94.3822174072
167,94.1391372681
172,115.660415649
179,111.926300049
180,93.7293395996
181,111.747413635
182,94.4304122925
183,111.970939636
185,111.970939636
187,111.874023438
188,94.230796814
189,93.9192657471
191,93.6431121826
192,112.26512146
193,94.0161819458
194,111.874023438
195,93.6431121826
196,111.970939636
198,94.230796814
199,111.874023438
201,104.164031982
204,94.230796814
205,103.614425659
206,94.0161819458
210,93.9192657471
211,103.614425659
216,111.874023438
219,115.660415649
220,93.9586486816
221,111.874023438
226,111.747413635
227,93.6431121826
228,111.874023438
230,111.874023438
231,93.5200042725
235,115.800483704
236,93.9192657471
238,111.874023438
242,103.497947693
243,93.9192657471
244,78.7463989258
245,111.370506287
247,111.874023438
248,93.3353729248
249,93.8313980103
250,111.874023438
251,93.9192657471
253,115.800483704
254,93.6431121826
256,94.0161819458
257,93.3353729248
258,112.547195435
259,93.9192657471
262,78.9477615356
266,93.5548019409
267,111.874023438
272,102.732391357
273,111.970939636
275,93.7293395996
276,111.976722717
279,94.5270462036
280,104.005889893
283,93.6431121826
285,111.874023438
288,111.970939636
289,94.8874206543
290,104.164031982
291,94.230796814
292,111.874023438
293,112.082756042
296,93.1044616699
297,112.028579712
298,115.043960571
299,94.230796814
304,93.5165023804
305,93.1601486206
306,93.9192657471
307,111.747413635
311,108.268379211
313,111.747413635
314,94.2684555054
316,93.8314743042
324,94.0161819458
327,94.8874206543
329,93.6431121826
330,111.874023438
337,104.471763611
338,94.3334960938
339,103.627349854
340,94.3277130127
343,93.544708252
345,115.660415649
346,94.0160293579
347,111.874023438
349,113.162315369
350,93.6331329346
352,112.028579712
353,93.2275695801
354,78.7463989258
357,94.0161819458
358,111.970939636
362,112.014091492
364,118.454933167
